COMMITTEE TO ELECT CHARLES HARVEY,C00305714,CHARLES EUGENE HARVEY,Senate,Principal campaign committee
PAUL HENDRICK FOR CONGRESS,C00305896,PAUL HENDRICK,House,Principal campaign committee
CHABOT/CREMEANS FOR OHIO COMMITTEE,C00306142,REEVE W KELSEY,House,Joint fundraising committee
W JACK SEXTON FOR U S CONGRESS,C00306464,MARSHA SEXTON,House,Principal campaign committee
FRIENDS OF SESSIONS SENATE COMMITTEE INC,C00306704,ANITA BARRERA,Senate,Principal campaign committee
CITIZENS FOR SUSAN C GALLAGHER,C00306969,PATRICK T O'DONNELL,Senate,Principal campaign committee
MICHIGAN NINTH CONGRESSIONAL REPUBLICAN CANDIDATE SEARCH COMMITTEE,C00308130,JAMES M LAVALLEE,Party - Nonqualified,Unauthorized
RICHARD POIRIER FOR CONGRESS,C00308171,RAJ TRIVEDI,House,Principal campaign committee
MOLLY BORDONARO FOR CONGRESS,C00308338,DAVID HARTMAN NAEMURA,House,Authorized by a candidate
SUSAN DUCEY FOR PRESIDENT,C00308486,JAN C KUFNER,Presidential,Principal campaign committee
GUY MILLNER FOR US SENATE,C00308700,R. CHARLES LOUDERMILK SR,Senate,Principal campaign committee
BEN GRABER FOR US CONGRESS COMMITTEE,C00309179,BEN GRABER,House,Principal campaign committee
NANNI FOR SENATE,C00309187,GENE NANNI,Senate,Principal campaign committee
ALAN KEYES FOR PRESIDENT '96 - COLORADO,C00309393,WILLIAM VICTOR MOTE,Presidential,Authorized by a candidate
STEPHEN L SPAID ELECTION COMMITTEE,C00309435,STEPHEN L SPAID,Presidential,Principal campaign committee
BART SPARKS FOR US CONGRESS COMMITTEE,C00309484,PAUL TEDDER,House,Principal campaign committee
GLEN D JOHNSON FOR CONGRESS COMMITTEE,C00309708,EDWIN LANDERS,House,Principal campaign committee
FLORIDA INDEPENDENT AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,C00310474,PEGGY LARA,PAC - Nonqualified,Unauthorized
COMMITTEE TO ELECT JOHN ADAMS TO CONGRESS,C00082784,DIANE CURTIN,House,Principal campaign committee
BARRASSO FOR SENATE,C00310482,DONNA ROBITAILLE,Senate,Principal campaign committee
CHRIS CANNON FOR CONGRESS INC,C00311019,STANLEY R DE WAAL CPA,House,Authorized by a candidate
M SUSAN CARRILLO FOR CONGRESS,C00311134,ALBERT ROBLES,House,Principal campaign committee
SUTTON FOR CONGRESS,C00311340,FRED THOMSON,House,Principal campaign committee
FRIENDS OF AARON,C00311373,JAMES L JIM RAKES,House,Principal campaign committee
FRIENDS OF MARTY MACK,C00311480,CONSTANCE A MACK,House,Principal campaign committee
FRIENDS OF JOHN PETERSON,C00311852,MR. H. MICHAEL VINOPAL,House,Principal campaign committee
DGA-PAC THE POLITICAL ACTION COMMITTEE OF THE DIRECTORS GUILD OF AMERICA INC.,C00311944,SCOTT OZ,PAC - Qualified,Lobbyist/Registrant PAC
COMMITTEE TO ELECT ROB THORN,C00312116,ROBERT B BOARDMAN,House,Principal campaign committee
NAVARRO FOR CONGRESS,C00312306,DEANNA LIEBERGOT,House,Principal campaign committee
E W BLANCH HOLDINGS INC PAC (BLANCH PAC),C00312322,SCOTT BILLINGS,PAC - Nonqualified,Unauthorized
KEVIN SMITH FOR US SENATE,C00312413,BRETT SHANE SMITH SR,Senate,Principal campaign committee
PRINCE GEORGE'S COUNTY CAMPAIGN '96,C00312769,MR PATRICK RICKER,House,Joint fundraising committee
COMMITTEE TO ELECT FELIX ROCHA JR TO CONGRESS,C00313015,FRANCIS J HICKS,House,Principal campaign committee
DARREL EALUM FOR CONGRESS,C00313098,DARREL EALUM,House,Principal campaign committee
COMMITTEE TO ELECT KITCHEN TO CONGRESS,C00313197,MITCHELL L PRESTON,House,Principal campaign committee
ACME METALS INCORPORATED POLITICAL ACTION COMMITTEE,C00313213,DERRICK T BAY,PAC - Nonqualified,Unauthorized
KANSANS FOR RATHBUN,C00313486,DERRY A LARSON,House,Principal campaign committee
RUSH HOLT FOR CONGRESS,C00313684,MOUNT PAMELA H.,House,Principal campaign committee
LEO HUDETZ FOR CONGRESS,C00313783,SCOTT SNYDER,House,Principal campaign committee
NOELL FOR CONGRESS COMMITTEE,C00313908,HERMAN K KRUGGEL,House,Principal campaign committee
GORDEUK FOR CONGRESS,C00314039,GREGORY C SPOTTS,House,Principal campaign committee
NEILSON FOR CONGRESS INC,C00314286,JEFFREY S EINFELDT,House,Principal campaign committee
ELECT PERRY ELLIS TO CONGRESS COMMITTEE,C00085407,MONROE DENNISON,House,Principal campaign committee
SYSCO CORPORATION GOOD GOVERNMENT POLITICAL ACTION COMMITTEE (SYSCO PAC),C00314625,MICHAEL C NICHOLS,PAC - Qualified,Unauthorized
FRIENDS OF LARRY JENT,C00314740,SAM ROTELLINI,House,Principal campaign committee
DUGAN FOR CONGRESS COMMITTEE,C00314930,DIANNE E SPIRES,House,Principal campaign committee
TSAKANIKAS U S CONGRESS INC,C00314948,PETER JAMES TSAKANIKAS,House,Principal campaign committee
FITZ-GERALD FOR CONGRESS,C00314963,HELEN D PHILLIPS,House,Principal campaign committee
LABORATORY CORPORATION OF AMERICA HOLDINGS POLITICAL PARTICIPATION COMMITTEE,C00314997,SHALEWITZ KIMBERLY P,PAC - Qualified,Lobbyist/Registrant PAC
INVOLVED YOUNG DEMOCRATS OF AMERICA I Y D A,C00315382,KENT A WHITLEY,PAC - Nonqualified,Unauthorized
LEONARD U S SENATE CAMPAIGN,C00315408,JERALD A LEONARD,Senate,Principal campaign committee
FLORIDA VETERANS POLITICAL ACTION COMMITTEE INC (AKA VETPAC),C00315531,JOHN C KINNEY,PAC - Nonqualified,Unauthorized
KNIBBS FOR CONGRESS,C00315689,RODNEY GRAY,House,Principal campaign committee
PEROT REFORM COMMITTEE,C00315762,MIKE POSS,Presidential,Authorized by a candidate
COMMITTEE TO ELECT ART TRUJILLO,C00316133,SKIP EATON,Senate,Principal campaign committee
OHIO GUN COLLECTORS ASSOCIATION POLITICAL ACTION COMMITTEE (SSF),C00316455,KIRIAN RODNEY MR.,PAC - Qualified,Unauthorized
CITIZENS FOR REFORM AND FISCAL RESPONSIBILITY INC,C00316505,PETER G SHERIDAN,PAC - Qualified,Unauthorized
KATZ FOR CONGRESS,C00316703,JOANN D GILBERT,House,Principal campaign committee
SPERLING FOR CONGRESS,C00316737,MATTHEW WARNER SPERLING,House,Principal campaign committee
ANTI-TAX POLITICAL ACTION COMMITTEE,C00316786,DAMON B ANSELL,PAC - Qualified,Unauthorized
FUND FOR A NEW GENERATION,C00316984,CHRISTINA TELLALIAN,PAC - Nonqualified,Unauthorized
GET EVEN WITH THE STATE-FEDERAL & LOCAL LEVEL COMMITTEE; THE,C00317024,CAESAR ST AUGUSTINE,Presidential,Principal campaign committee
CONNECTICUT REFORM PARTY DESIGNATION COMMITTEE,C00317362,WILLIAM F FARREN,Party - Nonqualified,Unauthorized
GOOD GOVERNMENT FOR AMERICA COMMITTEE,C00317479,CLEMENTS JOHN PETER,PAC - Qualified,Leadership PAC
COMMITTEE TO ELECT MARIETTA J. TANNER,C00086710,KAY BEMBERY,House,Principal campaign committee
BARRY CHILDERS CAMPAIGN COMMITTEE,C00317594,HAROLD F VEDOVA,House,Principal campaign committee
ENVIRONMENTAL CHEMICAL CORPORATION (ECC) PAC,C00317735,TONY NOLEN,PAC - Qualified,Unauthorized
COMMITTEE TO ELECT GARY WINSLOW PRITCHETT,C00317776,AUGUSTUS CHARLES PRITCHETT,House,Principal campaign committee
SOCIALIST WORKERS 1996 NATIONAL CAMPAIGN COMMITTEE (HARRIS FOR PRES/GARZA FOR VICE PRES),C00318154,GREG MCCARTAN,Presidential,Principal campaign committee
TOMMY KLEIN'S PRINCIPAL CAMPAIGN COMMITTEE,C00318386,THOMAS W KLEIN JR,Senate,Principal campaign committee
MAPP FOR CONGRESS COMMITTEE,C00318543,KENNETH MAPP,House,Principal campaign committee
SHELBY LANIER JR FOR US SENATE,C00318600,SAM R ASAMOAH,Senate,Principal campaign committee
DOCKING FOR US SENATE,C00318774,WILLIAM R DOCKING,Senate,Principal campaign committee
ROSEMARY GIUMARRA FOR VICE-PRESIDENT 1996,C00318923,TRACY RENEE MAXWELL,Presidential,Authorized by a candidate
GEORGIA OILMEN'S ASSOCIATION INC PAC (GOAPAC),C00319194,ROGER T LANE,PAC - Qualified,Unauthorized
TEXAS SOCIALIST WORKERS CAMPAIGN COMMITTEE,C00087593,PATRICE GAJEWSKI,Senate,Principal campaign committee
PULLER FOR CONGRESS,C00088237,RICHARD A. WILLIAMSON,House,Principal campaign committee
MEDICAL PROFESSIONAL LIABILITY ASSOCIATION POLITICAL ACTION COMMITTEE (MPL PAC),C00319319,ATCHINSON BRIAN,PAC - Qualified,Lobbyist/Registrant PAC
LOCAL 170 FUND FOR A BETTER GOVERNMENT,C00319335,RICHARD R FOLEY,PAC - Nonqualified,Unauthorized
GREEN FOR UNITED STATES SENATE,C00319376,PETER S HERMAN,Senate,Principal campaign committee
CACCHIONE FOR CONGRESS COMMITTEE,C00319525,MICHAEL P WALSH,House,Principal campaign committee
WILLIAM NEMEC FOR CONGRESS,C00319541,TRACY WIGGINS,House,Principal campaign committee
GENE HSIAO FOR CONGRESS COMMITTEE,C00319558,JULIE W HSIAO,House,Principal campaign committee
ELEPHANT PAC,C00319574,JOHN L RICHARDSON,PAC - Nonqualified,Unauthorized
PENNSYLVANIA VOTER EDUCATION COUNCIL,C00319749,JANET LEE CERNEY,PAC - Nonqualified,Unauthorized
MIKE CANADY FOR CONGRESS COMMITTEE,C00319855,ROBERT H GRIZZARD II,House,Principal campaign committee
EASTSIDE DEMOCRATIC CLUB,C00319947,Durkee Kinde,Party - Qualified,Unauthorized
DUCK PAC,C00319954,J RICHARD EICHMAN,PAC - Qualified,Unauthorized
SERVICE STATION DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,C00089532,CHARLES E. SHIPLEY,PAC - Nonqualified,Unauthorized
FRIENDS OF JIM MCGUY,C00089763,ROBERT DOBUCKI,House,Principal campaign committee
PEOPLE WORKING FOR RON ARLINE,C00090225,JOHN B. THOMPSON,House,Principal campaign committee
ALDRIC SAUCIER,C00319996,ALDRIC SAUCIER,House,Principal campaign committee
DEMOCRATS ABROAD-GERMANY,C00320127,PAUL J ROSE,Party - Qualified,Unauthorized
A SECURE AMERICA PAC,C00320168,LANGHAM JOHN,PAC - Nonqualified,Unauthorized
WATSON ELECTION COMMITTEE,C00320408,R W PELTON,Senate,Principal campaign committee
CARDELL CORPORATE PAC; THE,C00320523,CHARLES POLLACK,PAC - Nonqualified,Unauthorized
GARY W THOMAS FOR CONGRESS,C00320739,LINDA A THOMAS,House,Principal campaign committee
PEOPLE FOR SCOTTEE,C00320812,SHERIDAN R STANLEY,House,Principal campaign committee
NICOSIA FOR CONGRESS COMMITTEE,C00090704,GERALDINE SCIANA,House,Principal campaign committee
VOICE OF THE ELEPHANT OF VOTEPAC,C00320952,MICHAEL H JONES,PAC - Nonqualified,Unauthorized
FRIENDS OF MAIERS,C00321091,SHIRLEY A REYNOLDS,House,Principal campaign committee
AL'S PALS/LINDSKOOG FOR CONGRESS,C00321166,VIOLET L RICHARDS,House,Principal campaign committee
CALIFORNIA REFORM PARTY CONGRESSIONAL COMMITTEE,C00321232,JOHN EVANS,Party - Nonqualified,Unauthorized
LARRY W CROTTS FOR CONGRESS,C00321364,DEBORAH F HAFFNER,House,Principal campaign committee
NATIONAL SECURITY PARTY COMMITTEE (NASE),C00321521,NADEEM BITAR,Party - Nonqualified,Unauthorized
DIANE FEENEY FOR CONGRESS,C00321588,JOHN DALE KEENEY,House,Principal campaign committee
THOMAS FOR CONGRESS,C00321653,JEFFREY C THOMAS MD,House,Principal campaign committee
LEVIN & LEVIN,C00322115,RUTH BRODER,House,Joint fundraising committee
EDEN AREA DEMOCRATIC CAMPAIGN '96,C00322339,AMY NELSON SMITH,Party - Qualified,Unauthorized
BILL CLARKE FOR SENATE,C00322370,4236,Senate,Principal campaign committee
PHILLIPS-DRYE 1996 CAMPAIGN COMMITTEE,C00322545,AMY MILLER,Presidential,Principal campaign committee
CONFEDERATE HERITAGE FUND,C00322701,ROGER K BROXTON,PAC - Nonqualified,Unauthorized
PHILLIPS-BLUMENFELD COMMITTEE,C00322750,ANDREW LANE,Presidential,Principal campaign committee
CITIZENS FOR LIFE INC POLITICAL ACTION COMMITTEE AKA CFLPAC (FKA NH ASSOC/PRO/HUM INC),C00322867,ROGER J STENSON,PAC - Nonqualified,Unauthorized
COMMITTEE TO ELECT SAM PRIDEY FIRST DISTRICT CONGRESSMAN,C00323071,LAURENE S PRIDEY,House,Principal campaign committee
CONSERVATIVE CHRISTIAN PARTY,C00323428,JOYCE A NEWTON,Party - Nonqualified,Unauthorized
LIBERTARIAN PARTY OF YORK COUNTY,C00323972,KARL SPANGLA,Party - Qualified,Unauthorized
RESPIRONICS INC PAC,C00324228,JAMES C WOLL,PAC - Nonqualified,Unauthorized
WHITT AND WILLIAMS POLITICAL ACTION COMMITTEE,C00324525,KENNETH L. GIBB,PAC - Nonqualified,Unauthorized
COMMITTEE TO ELECT MARGIE,C00324665,AUBREY L SIMONS,House,Principal campaign committee
TUOLUMNE COUNTY REPUBLICAN PARTY (FED),C00325464,KIOLBASSA MATT,Party - Nonqualified,Unauthorized
DAVE MORGAN FOR SENATE,C00325654,WENDY J MORGAN,Senate,Principal campaign committee
BERKLEY FOR SENATE,C00325738,STEVEN W MELE,Senate,Principal campaign committee
PEOPLES BANK AND TRUST COMPANY PAC THE,C00325852,Bearden Andrew Mr. Jr.,PAC - Nonqualified,Unauthorized
LARGENT FOR CONGRESS 2002,C00325878,STEPHEN A JAY,House,Principal campaign committee
SOCIETY OF THORACIC SURGEONS POLITICAL ACTION COMMITTEE,C00325936,THOMPSON JESS L. DR. III,PAC - Qualified,Lobbyist/Registrant PAC
SECURITY TRADERS ASSOCIATION POLITICAL ACTION COMMITTEE,C00326256,MAKONNEN MAHLET H,PAC - Qualified,Lobbyist/Registrant PAC
MICHIGAN STATE BUILDING AND CONSTRUCTION TRADES COUNCIL PEC,C00326280,JON G LASALLE,PAC - Nonqualified,Unauthorized
YOUR PRO-CHOICE VOTER GUIDE,C00326298,PHILIP MULLER,PAC - Nonqualified,Unauthorized
AMALGAMATED SUGAR COMPANY POLITICAL ACTION COMMITTEE,C00326389,LUNA HOLLY,PAC - Qualified,Unauthorized
AUDIOLOGY - PAC,C00326678,CRAIG JOHNSON MD,PAC - Nonqualified,Unauthorized
RICHBERG COMMUNICATIONS INC'S HEADWAY PAC (HEADWAY PAC),C00326850,GWEN DAYE RICHARDSON,PAC - Nonqualified,Unauthorized
EATON COUNTY 80 DEMOCRATIC COMMITTEE,C00095620,ERMA L KUNZI,Party - Qualified,Unauthorized
GREEN FOR US SENATE,C00326892,CYNTHIA L BRAND,Senate,Principal campaign committee
HARVEY HOWARD FOR U.S. SENATE COMMITTEE,C00096511,NORMAN R. SALIBA M.D.,Senate,Principal campaign committee
ISSA FOR US SENATE,C00327007,JEN SLATER,Senate,Principal campaign committee
MISSOURI VICTORY '98,C00327494,PAUL JOHNSON,Party - Nonqualified,Joint fundraising committee
A LOT OF PEOPLE WHO WANT GEX JAY WILLIAMS IN CONGRESS,C00327676,DARYL WOLKING,House,Principal campaign committee
HOOSIER FAMILIES FOR JOHN PRICE FOR SENATOR,C00327775,TOM J BRINKERHOFF,Senate,Principal campaign committee
MARGARET DUNN FOR CONGRESS,C00328005,DENNIS DUNN,House,Principal campaign committee
REFORM PARTY OF CALIFORNIA,C00328328,JODY SMITH,Party - Qualified,Unauthorized
SAN DIEGO POLICE OFFICERS ASSOC INC POLITICAL ACTION COMMITTEE (SDPOA PAC),C00328476,C APRIL BOLING,PAC - Nonqualified,Unauthorized
DON CARRIG FOR CONGRESS,C00328708,MARGARET PERCY,House,Principal campaign committee
COMMITTEE TO ELECT RICHARD R SANCHEZ,C00329086,LEWIS RAY BANDY,House,Principal campaign committee
FIRST BREATH ALLIANCE,C00329094,Schroeder Carl,PAC - Nonqualified,Unauthorized
ELECT KAWANANAKOA,C00329573,JOHN ELLIS,House,Principal campaign committee
JOHN LIM FOR US SENATE,C00329623,GRACE LIM,Senate,Principal campaign committee
RALPH NEAS FOR CONGRESS,C00329987,THOMAS H. MOORE,House,Authorized by a candidate
MACCALLUM FOR CONGRESS COMMITTEE,C00330480,MARC E WILLIAMS,House,Principal campaign committee
UNOVA INC EMPLOYEES GOOD GOVERNMENT FUND,C00330498,ELMER C HULL JR,PAC - Qualified,Unauthorized
PAT NEAL FOR CONGRESS,C00330753,MARTY KREISLER,House,Principal campaign committee
NEW YORK SALUTE 1998,C00330860,ARTHUR W JASPAN ESQ,Senate,Joint fundraising committee
FASHIONPAC INC,C00331165,KENNETH BAADEN,PAC - Nonqualified,Unauthorized
TOM VOLGY FOR CONGRESS COMMITTEE,C00331280,DANA LARSON,House,Principal campaign committee
ON THE WALL POLITICAL TRUTH GOSPEL,C00331330,CONRAD HAMBURG,Presidential,Principal campaign committee
CLARKE GOOD GOVERNMENT PAC;THE,C00331371,ANASTASIOS ANDREW MANATOS,PAC - Nonqualified,Unauthorized
ORLOSKI FOR US SENATE COMMITTEE,C00331553,KATHY LAW ORLOSKI,Senate,Principal campaign committee
RIVERSIDE COUNTY SCHOOLS CREDIT UNION EMPLOYEES FEDERAL POLITICAL ACTION COMMITTEE,C00331702,JOHN WRIGHT,PAC - Nonqualified,Unauthorized
AMERICAN DREAM PAC,C00331744,PAYNE CINDY BARBERIO,PAC - Qualified,Unauthorized
SHARPLESS FOR CONGRESS,C00332015,BARRY J WIDERA,House,Authorized by a candidate
GREG MULLANAX FOR CONGRESS,C00332262,WILLIAM N GARRISON,House,Principal campaign committee
MCLAUGHLIN FOR CONGRESS FINANCE COMMITTEE,C00097378,JOHN J. MCLAUGHLIN SR.,House,Authorized by a candidate
SUSAN B. ANTHONY LIST INC. CANDIDATE FUND (DBA SUSAN B. ANTHONY PRO-LIFE AMERICA CANDIDATE FUND),C00332296,GROSS JENNIFER,PAC - Qualified,Lobbyist/Registrant PAC
BARON FOR CONGRESS,C00332494,GARY G FADER,House,Principal campaign committee
COMMITTEE TO ELECT WAYNE BRYANT TO CONGRESS,C00332718,WAYNE BRYANT,House,Principal campaign committee
ESSROC CEMENT CORP POLITICAL ACTION COMMITTEE ESSROC PAC,C00332775,GLENN R DALRYMPLE,PAC - Qualified,Unauthorized
MARCUS FOR CONGRESS '98,C00333302,ALAN BALMER,House,Authorized by a candidate
ROWLAND CONGRESS COMMITTEE,C00175190,GARRETT M MOORE,House,Authorized by a candidate
GOLDING 98 CONGRESS,C00333518,WILLIAM L GOLDING,House,Principal campaign committee
COMMITTEE FOR WORKING FAMILIES,C00333591,PAUL LEVINSOHN,PAC - Qualified,Unauthorized
ANKER ENERGY CORPORATION (ANKERPAC),C00333633,F SCOTT ROTRUCK,PAC - Nonqualified,Unauthorized
KRATZER FOR CONGRESS COMMITTEE,C00333864,DUANE E KRATZER JR,House,Authorized by a candidate
BARNECK FOR PRESIDENT 2000,C00333997,JESSICA JOY DURRANT,Presidential,Principal campaign committee
MATT STUART FOR CONGRESS,C00334292,JOANNE C DAVALA,House,Principal campaign committee
DRAKE FOR CONGRESS,C00334318,SUSAN J KYTE,House,Principal campaign committee
EUGENE F DOUGLASS FOR THE US SENATE CAMPAIGN COMMITTEE,C00334995,EUGENE F DOUGLASS,Senate,Principal campaign committee
SULLIVAN FOR CONGRESS,C00335034,H LYNN BERCH,House,Principal campaign committee
ARIZONA LICENSED BEVERAGE ASSOCIATION FEDERAL BEV-PAC,C00335141,LOUIS J POULOS,PAC - Nonqualified,Unauthorized
ALLEGHENY ENERGY INC. FEDERAL POLITICAL ACTION COMMITTEE,C00335232,KRINER MIKE,PAC - Qualified,Lobbyist/Registrant PAC
MCMICKLE FOR CONGRESS COMMITTEE,C00335281,WILLIAM H MYERS,House,Principal campaign committee
MARK LUCE FOR CONGRESS,C00335489,DREW AGUILAR CPA,House,Principal campaign committee
SEVERSON FOR CONGRESS,C00335653,BARBARA LYONS,House,Principal campaign committee
MAX ENGLERIUS FOR US SENATE CAMPAIGN COMMITTEE,C00335968,ROBERT G COVAIS,Senate,Principal campaign committee
THOMAS WINTERBOTTOM FOR PRESIDENT,C00336099,THOMAS F WINTERBOTTOM,Presidential,Principal campaign committee
COMMITTEE TO ELECT JERRY DONAHUE CONGRESSMAN,C00336172,ROBERT J NYTCH,House,Principal campaign committee
BEAUCHAMP FOR CONGRESS,C00336206,STEVEN I GIVOT,House,Authorized by a candidate
COLORADO REFORM PARTY,C00336636,JERILYN HIXENBAUGH,Party - Nonqualified,Unauthorized
COMMITTEE TO ELECT ROB GUZMAN 98,C00336776,JACKIE F KAM,House,Principal campaign committee
AL HAMBURG FOR PRESIDENT IN 2012 ,C00336982,AL HAMBURG,Presidential,Principal campaign committee
CITIZENS FOR STEELE,C00100602,TOINETTE LEILA MITCHELL,House,Principal campaign committee
MIKE SERABIAN FOR CONGRESS,C00337089,MICHAEL J SERABIAN SR,House,Principal campaign committee
MARTHA KREUTZ FOR CONGRESS COMMITTEE LLC,C00337378,ROGER K BAER,House,Principal campaign committee
FRANK TAYLOR FOR CONGRESS VOLUNTEER COMMITTEE,C00337444,ANNETTE MADLOCK-JONES,House,Principal campaign committee
MASON TENDERS DISTRICT COUNCIL OF GREATER NEW YORK & LI PAC,C00337733,PROHASKA MIKE,PAC - Qualified,Unauthorized
ARGENTUM'S SILVER PAC,C00338020,MAMONE GINA MS.,PAC - Qualified,Lobbyist/Registrant PAC
GREG SCHULTZ COMMITTEE TO ELECT,C00338228,GREGORY R SCHULTZ,House,Principal campaign committee
AMERICAN APPAREL & FOOTWEAR ASSOCIATION PAC,C00338442,LAMAR STEPHEN MR.,PAC - Qualified,Lobbyist/Registrant PAC
FRIENDS OF DAN FRISA,C00338608,Leventhal Paul,House,Principal campaign committee
CLIFF FEDERLE FOR CONGRESS,C00339192,RAY HATTON,House,Principal campaign committee
HENRY STRAUSS FOR CONGRESS,C00339218,ALBERT BRENMAN,House,Principal campaign committee
CITIZENS FOR VICKERS,C00339242,RICHARD SHERIDAN,House,Principal campaign committee
AMERICAN HEALTH & BEAUTY AIDS INSTITUTE POLITICAL ACTION COMMITTEE,C00339275,CLYDE HAMMOND,PAC - Nonqualified,Unauthorized
ST LAWRENCE CEMENT LLC POLITICAL ACTION COMMITTEE SLC LLC PAC,C00339390,JOSEPH MEADOWS,PAC - Nonqualified,Unauthorized
COMMITTEE TO ELECT JOHN HENDRICKS 8TH CONGRESSIONAL DISTRICT REPRESENTATIVE,C00339663,MIKE GARDNER,House,Principal campaign committee
PREMIUM STANDARD FARMS INC. FEDERAL BETTER GOVERMENT FUND,C00339762,Rippe Dennis,PAC - Qualified,Unauthorized
PETERSON FOR CONGRESS,C00339770,JACK BROWN,House,Principal campaign committee
DEMOCRATS WITH AN ATTITUDE PAC,C00339853,STEVEN JOHNSON,PAC - Nonqualified,Unauthorized
FRIEDHEIM FOR SENATE,C00340059,JASON CRAIG SHAPIRO,Senate,Principal campaign committee
CITIZEN'S PAC,C00340273,MR JAY STONE,PAC - Nonqualified,Unauthorized
HARDWOOD LUMBER MANUFACTURERS ASSOCIATION OF PENNSYLVANIA INC,C00340570,WILLIAM ROBIE,PAC - Nonqualified,Unauthorized
COMMITTEE FOR MANNY CRUZ,C00340695,RAMONA TERESITA GUMATAOTAO PEREZ,House,Principal campaign committee
VARTEC TELCOM INC PAC,C00340992,MICHAEL G HOFFMAN,PAC - Nonqualified,Unauthorized
D'URSO FOR CONGRESS,C00341040,NULL,House,Principal campaign committee
