name,office_full,party_full,state,district,candidate_id
MULITAUAOPELE I,House,DEMOCRATIC PARTY,AS,0,H0AS00034
TAGO ACE A,House,INDEPENDENT,AS,0,H0AS00042
LUTU AFOA MOEGA,House,INDEPENDENT,AS,0,H0AS00067
CRICHTON ORETA TUFAGA-MAPU,House,DEMOCRATIC PARTY,AS,0,H0AS01016
AMACHER RYAN CUSTER,House,DEMOCRATIC PARTY,AZ,1,H0AZ01010
WRZESINSKI JOHN T,House,REPUBLICAN PARTY,AZ,1,H0AZ01150
FLAKE JEFF MR.,House,REPUBLICAN PARTY,AZ,6,H0AZ01184
LIDDY THOMAS PURCELL,House,REPUBLICAN PARTY,AZ,1,H0AZ01218
DICICCIO SALVATORE A,House,REPUBLICAN PARTY,AZ,1,H0AZ01226
GOSAR PAUL DR.,House,REPUBLICAN PARTY,AZ,9,H0AZ01259
BEAUCHAMP BRADLEY DON,House,REPUBLICAN PARTY,AZ,1,H0AZ01267
BOWERS RUSSELL WESLEY,House,REPUBLICAN PARTY,AZ,1,H0AZ01275
MEHTA STEVE,House,REPUBLICAN PARTY,AZ,1,H0AZ01283
JARACZEWSKI JOE,House,REPUBLICAN PARTY,AZ,1,H0AZ01291
ZALESKI THOMAS J,House,REPUBLICAN PARTY,AZ,1,H0AZ01309
JENSEN JON RICHARD,House,REPUBLICAN PARTY,AZ,1,H0AZ01317
TOBIN ANDY HON.,House,REPUBLICAN PARTY,AZ,1,H0AZ01325
PUTZOVA EVA,House,DEMOCRATIC PARTY,AZ,1,H0AZ01358
TAYLOR CHRIS,House,REPUBLICAN PARTY,AZ,1,H0AZ01366
MOORE JOHN WILLIAM,House,REPUBLICAN PARTY,AZ,1,H0AZ01390
REIDHEAD NOLAN QUINN MR,House,REPUBLICAN PARTY,AZ,1,H0AZ01408
SHAMLEY DOYEL,House,REPUBLICAN PARTY,AZ,1,H0AZ01424
"HUFF RICHARD H ""DICK""",House,REPUBLICAN PARTY,AZ,5,H0AZ02018
RODRIGUEZ ALBERT F,House,REPUBLICAN PARTY,AZ,2,H0AZ02117
BLACK CHARLES ROLAND,House,REPUBLICAN PARTY,AZ,2,H0AZ02141
WADSACK JUSTINE LOUISE,House,REPUBLICAN PARTY,AZ,2,H0AZ02174
MORGAN JOSEPH DAVID,House,REPUBLICAN PARTY,AZ,2,H0AZ02182
LIGON MIKE,House,REPUBLICAN PARTY,AZ,2,H0AZ02224
STAUTZ SHAY,House,REPUBLICAN PARTY,AZ,2,H0AZ02232
RUDEN NORAN ERIC,House,REPUBLICAN PARTY,AZ,2,H0AZ02265
QUILTER PETER,House,DEMOCRATIC PARTY,AZ,2,H0AZ02281
CROFT BOB,House,REPUBLICAN PARTY,AZ,3,H0AZ03016
HARTSTONE ROGER D,House,DEMOCRATIC PARTY,AZ,1,H0AZ03222
SCHARER GENE PAUL,House,DEMOCRATIC PARTY,AZ,9,H0AZ03248
HULBURD JON,House,DEMOCRATIC PARTY,AZ,3,H0AZ03305
WARING JAMES F,House,REPUBLICAN PARTY,AZ,3,H0AZ03313
PARKER VERNON,House,REPUBLICAN PARTY,AZ,9,H0AZ03321
GORMAN PAMELA DIANE,House,REPUBLICAN PARTY,AZ,3,H0AZ03339
CRUMP SAMUEL TURRENTINE SR,House,REPUBLICAN PARTY,AZ,3,H0AZ03347
MORRIS PAULINA VASQUEZ,House,REPUBLICAN PARTY,AZ,3,H0AZ03354
QUAYLE BEN,House,REPUBLICAN PARTY,AZ,6,H0AZ03362
HULL LEANN,House,REPUBLICAN PARTY,AZ,3,H0AZ03370
BRANCH ROBERT ALLEN,House,REPUBLICAN PARTY,AZ,3,H0AZ03388
MOAK STEVEN CARL,House,REPUBLICAN PARTY,AZ,3,H0AZ03396
CHARLES ROBERT LINCOLN,House,REPUBLICAN PARTY,AZ,3,H0AZ03420
RONNEBECK STEVE,House,REPUBLICAN PARTY,AZ,3,H0AZ03453
WOOD DANIEL,House,REPUBLICAN PARTY,AZ,3,H0AZ03461
IVEY MARK JR,House,DEMOCRATIC PARTY,AZ,4,H0AZ04451
CONTRERAS JANET L,House,REPUBLICAN PARTY,AZ,4,H0AZ04493
PENALOSA JOSE LUIS JR,House,INDEPENDENT,AZ,7,H0AZ04501
STARKY STUART,House,DEMOCRATIC PARTY,AZ,4,H0AZ04519
ROBINSON EMILY,House,INDEPENDENT,AZ,4,H0AZ04527
WARD ANNE MARIE,House,REPUBLICAN PARTY,AZ,4,H0AZ04535
RYAN MARY JUDGE,House,DEMOCRATIC PARTY,AZ,8,H0AZ05037
CUNNINGHAM GEORGE,House,DEMOCRATIC PARTY,AZ,5,H0AZ05045
WARD JIM,House,REPUBLICAN PARTY,AZ,5,H0AZ05078
WNUCK ERIC,House,REPUBLICAN PARTY,AZ,5,H0AZ05086
SMITH JEFFREY W,House,REPUBLICAN PARTY,AZ,6,H0AZ05094
SALVINO CHRIS,House,REPUBLICAN PARTY,AZ,5,H0AZ05102
SPINKS MARK VINCENT,House,REPUBLICAN PARTY,AZ,5,H0AZ05110
RAMOS JAVIER GARCIA MR.,House,DEMOCRATIC PARTY,AZ,5,H0AZ05185
HARRIS KEVIN BRUCE,House,DEMOCRATIC PARTY,AZ,6,H0AZ06019
NELSON LAWRENCE ROBERT,House,DEMOCRATIC PARTY,AZ,6,H0AZ06027
KELSEY EASTON CLINT,House,REPUBLICAN PARTY,AZ,6,H0AZ06043
RIMMER STEPHANIE S,House,DEMOCRATIC PARTY,AZ,6,H0AZ06068
GENTLES KARL E,House,DEMOCRATIC PARTY,AZ,6,H0AZ06084
LEWELLEN TOM MR.,House,,AZ,6,H0AZ06092
MCCLUNG RUTH CRAWFORD,House,REPUBLICAN PARTY,AZ,7,H0AZ07017
MYERS TERRY LON,House,REPUBLICAN PARTY,AZ,7,H0AZ07025
BARNETT JOSH,House,REPUBLICAN PARTY,AZ,1,H0AZ07082
KELLY JESSE,House,REPUBLICAN PARTY,AZ,2,H0AZ08015
GOSS VINCENT ANDREW,House,REPUBLICAN PARTY,AZ,8,H0AZ08023
MILLER BRIAN ALLAN,House,REPUBLICAN PARTY,AZ,8,H0AZ08031
CARLSON THOMAS A JR,House,REPUBLICAN PARTY,AZ,8,H0AZ08049
PATON JONATHAN,House,REPUBLICAN PARTY,AZ,1,H0AZ08056
MUSCATO MICHAEL ARCHANGEL,House,DEMOCRATIC PARTY,AZ,8,H0AZ08072
OLSEN ROBERT,House,DEMOCRATIC PARTY,AZ,8,H0AZ08080
TUTORA NICHOLAS,House,REPUBLICAN PARTY,AZ,9,H0AZ09021
FUENTES-WOLFE TALIA,House,DEMOCRATIC PARTY,AZ,9,H0AZ09062
BARBIERI JOHN MICHAEL,House,REPUBLICAN PARTY,CA,36,H0CA00017
GOLD SIDNEY,House,DEMOCRATIC PARTY,CA,25,H0CA00033
KEYSOR JIM,House,DEMOCRATIC PARTY,CA,47,H0CA00041
FINK MARI HAMLIN,House,REPUBLICAN PARTY,CA,53,H0CA00066
SHAH JAYENDRA ARVINDLAL DR,House,INDEPENDENT,CA,47,H0CA00074
PORTANTINO ANTHONY,House,DEMOCRATIC PARTY,CA,29,H0CA00082
RAY EUGENE,House,REPUBLICAN PARTY,CA,3,H0CA00090
LEE ROBERT KIPLEY,House,DEMOCRATIC PARTY,CA,1,H0CA01023
MURPHY TRACY,House,DEMOCRATIC PARTY,CA,1,H0CA01056
RIGGS FRANK D,House,REPUBLICAN PARTY,CA,1,H0CA01064
STOEN TIMOTHY OLIVER,House,REPUBLICAN PARTY,CA,1,H0CA01072
COMINGORE DARLENE G,House,PEACE AND FREEDOM,CA,1,H0CA01080
WIESNER LAWRENCE R,House,REPUBLICAN PARTY,CA,1,H0CA01106
HITT KENNETH ALLAN,House,REPUBLICAN PARTY,CA,1,H0CA01114
HANKS LOREN L,House,REPUBLICAN PARTY,CA,1,H0CA01148
WINDREM PETER FOLGER,House,DEMOCRATIC PARTY,CA,2,H0CA02013
KAHN BRIAN,House,DEMOCRATIC PARTY,CA,2,H0CA02021
BEARY LOUIS,House,LIBERTARIAN PARTY,CA,6,H0CA02054
"RUSH ERWIN E ""BILL""",House,DEMOCRATIC PARTY,CA,2,H0CA02070
STIGLICH PETER VINCENT,House,REPUBLICAN PARTY,CA,1,H0CA02120
REED JAMES E,House,DEMOCRATIC PARTY,CA,1,H0CA02138
MANGAS MONIZ RACHEL OLIVIA,House,DEMOCRATIC PARTY,CA,2,H0CA02153
DANIEL BRUCE A,House,LIBERTARIAN PARTY,CA,14,H0CA03029
BORMAN EUGENE ROY,House,REPUBLICAN PARTY,CA,3,H0CA03037
BERA AMERISH,House,DEMOCRATIC PARTY,CA,6,H0CA03078
DAVIS GARY,House,DEMOCRATIC PARTY,CA,3,H0CA03086
SLATON BILL,House,DEMOCRATIC PARTY,CA,3,H0CA03094
HAMILTON TAMIKA,House,REPUBLICAN PARTY,CA,6,H0CA03128
FEUCHT J.C. SEAN,House,REPUBLICAN PARTY,CA,3,H0CA03144
KOZIOL THOMAS L,House,REPUBLICAN PARTY,CA,4,H0CA04043
BAUGHMAN MARK,House,REPUBLICAN PARTY,CA,4,H0CA04050
WARNER STANLEY WESLEY (STAN),House,DEMOCRATIC PARTY,CA,4,H0CA04068
NORBERG MARK A,House,DEMOCRATIC PARTY,CA,4,H0CA04100
CURTIS CLINT,House,DEMOCRATIC PARTY,CA,4,H0CA04134
BABICH MICHAEL,House,REPUBLICAN PARTY,CA,4,H0CA04142
EMERY BENJAMIN 'BEN',House,GREEN PARTY,CA,4,H0CA04159
FRAME SEAN COLIN,House,DEMOCRATIC PARTY,CA,4,H0CA04167
KENNEDY BRYNNE,House,DEMOCRATIC PARTY,CA,4,H0CA04175
BENZEL JULIANNE ELIZABETH MRS.,House,REPUBLICAN PARTY,CA,4,H0CA04183
MCQUAID JOHN DENNIS,House,REPUBLICAN PARTY,CA,6,H0CA05016
DOUGHERTY DAN P,House,LIBERTARIAN PARTY,CA,5,H0CA05024
NICHOLS ALAN H,House,REPUBLICAN PARTY,CA,5,H0CA05032
PAYNE KENNETH J,House,REPUBLICAN PARTY,CA,5,H0CA05040
SMITT ERIK,House,REPUBLICAN PARTY,CA,6,H0CA05073
TYLER JOHN WESLEY,House,DEMOCRATIC PARTY,CA,5,H0CA05115
BARNES ROBERT WILLIAM SR,House,DEMOCRATIC PARTY,CA,6,H0CA06014
BOERUM BILL,House,REPUBLICAN PARTY,CA,6,H0CA06055
JUDD JAMES O JR.,House,REPUBLICAN PARTY,CA,6,H0CA06097
ROBERTS DANIEL ,House,REPUBLICAN PARTY,CA,2,H0CA06121
EMARD BENJAMIN,House,DEMOCRATIC PARTY,CA,6,H0CA06162
BISH CHRISTINE,House,REPUBLICAN PARTY,CA,6,H0CA06170
ST CLAIR GILES,House,REPUBLICAN PARTY,CA,7,H0CA07020
SNOW STEPHEN A,House,LIBERTARIAN PARTY,CA,7,H0CA07046
PAYTON ROGER ALLEN,House,REPUBLICAN PARTY,CA,7,H0CA07053
HOFFMAN CHRISTOPHER,House,REPUBLICAN PARTY,CA,7,H0CA07079
"MRAOVICH NICHOLAS (""NICK"")",House,REPUBLICAN PARTY,CA,7,H0CA07087
TUBBS RICHARD STEPHEN II,House,REPUBLICAN PARTY,CA,3,H0CA07103
FITZGERALD JOHN,House,REPUBLICAN PARTY,CA,11,H0CA07111
BURDICK JEFF,House,DEMOCRATIC PARTY,CA,7,H0CA07129
PATTERSON ROBERT BUZZ,House,REPUBLICAN PARTY,CA,7,H0CA07137
IVY JON,House,REPUBLICAN PARTY,CA,7,H0CA07152
DENNIS JOHN,House,REPUBLICAN PARTY,CA,12,H0CA08069
SHIELDS SUMMER J,House,DEMOCRATIC PARTY,CA,12,H0CA08077
BUBSER CHRISTINE,House,DEMOCRATIC PARTY,CA,8,H0CA08101
STAAT JEREMY,House,REPUBLICAN PARTY,CA,8,H0CA08127
OBERNOLTE JAY,House,REPUBLICAN PARTY,CA,23,H0CA08135
CONAWAY ROBERT DEAN,House,DEMOCRATIC PARTY,CA,8,H0CA08143
ELLARS JAMES ROBERT,House,DEMOCRATIC PARTY,CA,8,H0CA08150
ESMUS JEFF,House,NON-PARTY,CA,8,H0CA08168
GOMEZ BLANCA,House,DEMOCRATIC PARTY,CA,8,H0CA08226
KENNEDY BILL,House,REPUBLICAN PARTY,CA,9,H0CA09018
ROMERO VICTOR ARNOLD,House,REPUBLICAN PARTY,CA,9,H0CA09034
MARTINEK WILLIAM CHARLES,House,REPUBLICAN PARTY,CA,9,H0CA09109
AMADOR ANTONIO,House,REPUBLICAN PARTY,CA,9,H0CA09125
LUTTON JOHN M.,House,REPUBLICAN PARTY,CA,10,H0CA10016
KING LOWELL A,House,REPUBLICAN PARTY,CA,13,H0CA10032
PATROSSO MARK STEVEN,House,REPUBLICAN PARTY,CA,10,H0CA10040
KILIAN DENNIS M,House,REPUBLICAN PARTY,CA,10,H0CA10057
HUTCHISON CLAUDE B JR,House,REPUBLICAN PARTY,CA,10,H0CA10065
DESAULNIER MARK,House,DEMOCRATIC PARTY,CA,10,H0CA10073
HAMPTON ADRIEL,House,DEMOCRATIC PARTY,CA,10,H0CA10081
BUCHANAN JOAN,House,DEMOCRATIC PARTY,CA,10,H0CA10099
WOODS ANTHONY MR,House,DEMOCRATIC PARTY,CA,10,H0CA10107
VANGUNDY GINO,House,UNKNOWN,CA,10,H0CA10115
HARMER DAVID,House,REPUBLICAN PARTY,CA,11,H0CA10123
GARAMENDI JOHN,House,DEMOCRATIC PARTY,CA,8,H0CA10149
BUNCH CHRISTOPHER N,House,REPUBLICAN PARTY,CA,10,H0CA10156
PETERSON DAVID,House,DEMOCRATIC PARTY,CA,12,H0CA10172
CLIFT GARY WILLIAM,House,REPUBLICAN PARTY,CA,10,H0CA10180
LOOS MARK ALAN,House,REPUBLICAN PARTY,CA,10,H0CA10198
TOTH JOHN RICHARD,House,REPUBLICAN PARTY,CA,10,H0CA10206
BURKE BUDDY,House,REPUBLICAN PARTY,CA,10,H0CA10230
DOSSETT CHARLES,House,REPUBLICAN PARTY,CA,10,H0CA10248
SOUSA LIVENGOOD MARLA,House,REPUBLICAN PARTY,CA,10,H0CA10263
ELLIOTT BOB,House,REPUBLICAN PARTY,CA,10,H0CA10271
BLEVINS RYAN,House,DEMOCRATIC PARTY,CA,10,H0CA10289
ROYER BILL,House,REPUBLICAN PARTY,CA,11,H0CA11014
LANTOS TOM,House,DEMOCRATIC PARTY,CA,12,H0CA11022
CANFIELD ROGER BLAINE II,House,REPUBLICAN PARTY,CA,11,H0CA11105
BRANCH WILSON,House,PEACE AND FREEDOM,CA,11,H0CA11113
KELTING LES,House,REPUBLICAN PARTY,CA,11,H0CA11154
MAKAR BRUCE BERNARD,House,REPUBLICAN PARTY,CA,11,H0CA11162
COREY GEORGE RAYMOND,House,DEMOCRATIC PARTY,CA,11,H0CA11170
"HOLSINGER G. W. ""JOE""",House,DEMOCRATIC PARTY,CA,11,H0CA11188
LANDERS CURTISS A,House,DEMOCRATIC PARTY,CA,11,H0CA11196
SPEIER JACQUELINE,House,DEMOCRATIC PARTY,CA,11,H0CA11204
SANTOS TOM Y,House,DEMOCRATIC PARTY,CA,11,H0CA11253
DEL ARROZ JONATHAN MR.,House,REPUBLICAN PARTY,CA,11,H0CA11295
GOEHRING BRAD,House,REPUBLICAN PARTY,CA,11,H0CA11303
PEGRAM LARRY,House,REPUBLICAN PARTY,CA,11,H0CA11311
BEADLES ROBERT,House,REPUBLICAN PARTY,CA,11,H0CA11329
AMADOR ANTONIO C,House,REPUBLICAN PARTY,CA,9,H0CA11337
TAKADA JEFFREY DAVID,House,REPUBLICAN PARTY,CA,11,H0CA11345
EMKEN ELIZABETH,House,REPUBLICAN PARTY,CA,7,H0CA11352
KERR MICHAEL ERNEST,House,GREEN PARTY,CA,11,H0CA11378
STRASSMAN MARC,House,DEMOCRATIC PARTY,CA,12,H0CA12012
EVERS WILLIAMSON M,House,LIBERTARIAN PARTY,CA,12,H0CA12038
PALMER ROBERT,House,DEMOCRATIC PARTY,CA,14,H0CA12046
HARDING JOSEPH MICHAEL,House,WRITE-IN,CA,12,H0CA12103
BACELAR AGATHA,House,DEMOCRATIC PARTY,CA,12,H0CA12111
GALLAGHER TOM,House,DEMOCRATIC PARTY,CA,12,H0CA12129
LORRAINE DEANNA,House,REPUBLICAN PARTY,CA,12,H0CA12137
GAGNE WILFRED EDWARD,House,REPUBLICAN PARTY,CA,13,H0CA13028
SMITH DAVID ELLIOTT,House,REPUBLICAN PARTY,CA,13,H0CA13036
DUFFY SAUNDRA SUE,House,REPUBLICAN PARTY,CA,13,H0CA13044
GARCIA LUIS 'COACH',House,REPUBLICAN PARTY,CA,13,H0CA13085
JELINCIC JUSTIN,House,DEMOCRATIC PARTY,CA,13,H0CA13093
PAREJA CHRISTOPHER JAMES,House,UNKNOWN,CA,15,H0CA13119
PITERMAN KONSTANTINE NIKKA-SHER,House,REPUBLICAN PARTY,CA,13,H0CA13127
CERNEY ANNE,House,DEMOCRATIC PARTY,CA,14,H0CA14018
RICHARDS RONALD C,House,DEMOCRATIC PARTY,CA,14,H0CA14026
DOOLITTLE JOHN,House,REPUBLICAN PARTY,CA,4,H0CA14042
TAYLOR ERIC,House,INDEPENDENT,CA,14,H0CA14109
GOODROW CRISTOS JON,House,DEMOCRATIC PARTY,CA,14,H0CA14117
SCHWARTZ RONALD,House,REPUBLICAN PARTY,CA,15,H0CA15015
CONDIT GARY A,House,DEMOCRATIC PARTY,CA,18,H0CA15031
BURRIS CLIFF,House,REPUBLICAN PARTY,CA,15,H0CA15049
WHITESIDE CAROL LOUISE GORDON,House,REPUBLICAN PARTY,CA,15,H0CA15056
WEIMER ROBERT JOHN,House,REPUBLICAN PARTY,CA,15,H0CA15064
